author,key,affiliation
Herbert D. Jellinek,conf/uist/RaoCJMR92,Université du Droit et de la Sante (Lille II)
Herbert D. Schwetman,conf/iwdm/SmithABCKSY89,Ross University Caribbean School of Veterinary Medicine
Herbert Edelsbrunner,journals/ipl/EdelsbrunnerM81|journals/jal/EdelsbrunnerO85|journals/siamcomp/EdelsbrunnerGS86|journals/siamcomp/EdelsbrunnerW86|conf/stoc/DobkinEY86,Tokiwa University
Herbert Freeman,journals/csur/Freeman74|journals/cacm/FreemanS75,Universidad Mesoamericana de San Agustín
Herbert Hecht,conf/srds/ChuHLCMH90,Hawassa University
Herbert Henley,journals/vldb/TempletonHMB95,University of Maryland at Baltimore
Herbert J. Reitboeck,journals/iandc/ReitboeckB69,Western Kazakhstan Agricultural University
Herbert Kuss,conf/sigmod/Kuss82,Volgograd State Technical University
Herbert Pohlai,journals/cl/KuhnPP93,Academy of Public Administration of Belarus
Herbert S. Meltzer,conf/vldb/Meltzer76,West Pomeranian Business School in Szczecin
Herbert S. Wilf,journals/ipl/Wilf84,Shirayuri Women's College
Herbert Schorr,journals/aim/FeigenbaumFJNSSE94,Universidad Luterana Salvadorena
Herbert Sullivan,conf/isca/SullivanB77,Instituto Superior Politécnico José Antonio Echeverría
Herbert Weber,conf/vldb/EhrigKW78|conf/vldb/Weber78|journals/tse/WeberE86|conf/vldb/Weber78a,Benguet State University
Hercules Dalianis,conf/er/DalianisJ97|conf/caise/Dalianis92,Lampang College of Commerce and Technology
Heren Zhou,conf/fmldo/LipeckZ91,"Taylor University, Fort Wayne Campus"
Heribert Pfefferle,conf/dbsec/DittrichHP88,Daido Institute of Technology
Heribert Schütz,conf/sigmod/JonkerS95|conf/dasfaa/FreitagSS91,California College for Health Sciences
Herman Balsters,conf/dbpl/SpeltB97|conf/dbpl/BalstersV91|journals/tcs/BalstersF91|conf/ecoop/BalstersBZ93|conf/dood/BalB93,Southern University - Baton Rouge
Herman D'Hooge,conf/sosp/KahnCDDHHMP81,Sakushin Gakuin University
Herman D. Hughes,conf/sigmetrics/KrunzH95,Siberian State University of Telecommunications and Informatics
Herman Elenbaas,journals/tkde/DimitrovaMEM98|conf/cikm/DimitrovaME97,Florida Community College at Jacksonville
Herman Iline,conf/ijcai/IlineK87,Université de Fianarantsoa
Herman Lam,journals/tkde/SuGL93|journals/tkde/ThakoreSL95|journals/tods/SuLL81|journals/vldb/ShyyASL96|conf/cikm/SuLAYY95|conf/icde/AlashqurSL90|conf/icde/GuoSL91|conf/er/NavatheGDL90|conf/sigmod/SuLEAPZ93|conf/vldb/AlashqurSL89|journals/jiis/SuLYAYL96|journals/tc/RaschidFLS86|journals/jpdc/LeeLS93|journals/tse/LamSK88|journals/dke/KrishnamurthySLMB88|conf/oopsla/YaseenSL91|conf/pacific/LamS75|conf/ngits/MissikoffL93|conf/iwdm/LamLS89|conf/sigmod/SuL74|conf/pdis/SuCL91,IT University of Copenhagen
Hermann A. Maurer,journals/ipl/EdelsbrunnerM81|journals/jucs/AndrewsKM95|journals/acta/BentleyM80|journals/cacm/MarchioniniM95|conf/dexa/MaurerSS93,University of Verona
Hermann Kaindl,conf/ht/KaindlS91,Ritsumeikan University
Hermann Kopetz,journals/tc/KopetzO87|conf/icdcs/Kopetz92,European University
Hermann Puhlmann,conf/mfcs/Puhlmann93,Kenya Methodist University
Hermann Schmutz,conf/ibm/BlaserS75,"Arizona State University, Downtown Phoenix Campus"
Hermann Sikora,conf/icse/PreeS97,Universidad Arcis
Hermann Steffen,conf/vldb/GutierrezPST94,Notre Dame Women's College
Hernán Cobo,conf/er/CoboMRR99,University of Basrah
Hervé A. Jamrozik,conf/sigmetrics/VoelkerJVLL97,"Universidad Internacional de Andalucía, Sede Antonio Machado de Baeza"
Hervé Brönnimann,conf/compgeom/BronnimannG94,Chhatrapati Shahu Ji Maharaj University
Hervé Da Costa,conf/sosp/OusterhoutCHKKT85,National College of Naturopathic Medicine
Hervé Gallaire,journals/csur/GallaireMN84|conf/icdt/GallaireN90|conf/vldb/Gallaire89|conf/vldb/Gallaire81|journals/debu/GallaireN87|conf/slp/Gallaire85|conf/ecoopw/AndreoliGP94|conf/aaai/Gallaire86|conf/db-workshops/GallaireN85|conf/wi/MantheyGN89|conf/adbt/GallaireMN77|conf/adbt/NicolasM77|conf/adbt/GallaireMN79|conf/ijcai/ReiterGKMW83,Escuela Agricola Panamericana Zamorano
Hervé Guehl,conf/rules/BenazetGB95,Elizabethtown College
Hervé J. Touati,conf/slp/TouatiD87,Al-Zaiem Al-Azhari University
Hervé Martin,conf/cikm/MartinAD92,University of Lucknow
Hervé Stora,conf/vldb/GardarinCKPS89,Nippon Institute of Technology
Herwig Van Cotthem,conf/ijcai/MathonetCV87,Universidade Santa Cecília dos Bandeirantes
Hessam Khoshnevisan,journals/cj/HarrisonK92,Uzhgorod National University
Heui-Seok Lim,conf/sigir/BaekLR00,Providence College
Heung D. Kim,journals/tkde/KuKH94,Hebei Academy of Fine Art
Hidayatullah Shaikh,conf/ercimdl/DanDNSSKD98,Union College Kentucky
Hideaki Takeda 0001,conf/dasfaa/SatohTIF91|conf/fodo/SatohTT89,Loyola University of Chicago
Hidefumi Kondo,conf/er/SakaiKK81|conf/dasfaa/FujisawaKKK91|conf/ismis/KondoK87|conf/fgcs/KoguchiKOI88,Eelo American University
Hideharu Suzuki,conf/spieSR/SuzukiNUS94,Swami Ramanand Teerth Marathwada University
Hidehiko Masuhara,conf/oopsla/MasuharaMWY92,Vietnam National University Hanoi
Hidehiko Tanaka,conf/icde/OhmoriKT90|conf/icde/OhmoriKT91|conf/sigmod/FushimiKNTM85|conf/vldb/FushimiKT86|journals/ngc/GotoTM84|journals/ngc/KitsuregawaTM83|conf/iwdm/OhmoriT87|conf/fgcs/Moto-OkaTAHM84|conf/fodo/FushimiKTM85,Yorker International University
Hidehiro Miyajima,conf/vldb/MuroIMH83|journals/tse/MuroIMH85,Puntland State University
Hidekazu Nakawatase,conf/er/NakawataseYKN94,"University of Maine, Machias"
Hideki Fukuoka,conf/dasfaa/InoueHFS89|conf/dasfaa/SatohTIF91,Universidad Metropolitana Latin Campus
Hideki Nishimoto,conf/dasfaa/ShimadaNISKI89,Royal College of Art
Hideki Saito 0004,conf/iwdm/BabaSY87,Lancaster Bible College
Hideki Tsushima,conf/amcp/KatayamaKKTYK98,Ecole Nationale d'Ingénieurs de Tarbes
Hideki Yamamoto,conf/nf2/KambayashiFY87,Universitas Yarsi
Hideki Yasukawa,conf/fgcs/YasukawaTY92|conf/fgcs/FurukawaTKYOU84|conf/fgcs/YokotaY92,University of Technology Jamaica
Hideko S. Kunii,conf/vldb/KuniiK77,Africa University
Hidenori Itoh,conf/icde/MonoiMISS88|conf/icde/ItohASM87|conf/icde/YokotaSI86|conf/dasfaa/ItohMS89|conf/vldb/MoritaYNI86|conf/vldb/Itoh86|journals/ngc/SakamaI88|conf/iwdm/ItohTY87|conf/iwdm/WadaMYYMI87|conf/iwdm/SakaiSMMI87|conf/iclp/SekiI88|conf/fgcs/KoguchiKOI88|conf/fgcs/MonoiMITSS88|conf/isca/YokotaI86,Perm State Pharmaceutical Academy
Hidenori Nakazato,conf/icde/NakazatoL91,The Emirates Academy of Hotel Managment
Hideo Abe,conf/vldb/MoriSAI86,Kalmyk State University
Hideo Aiso,conf/isca/KiyokiTAK81|conf/asplos/KamibayashiONA82,Kilimanjaro Christian Medical College
Hideo Fujii,conf/sigir/FujiiC93,Volgograd State University
Hideo Matsuka,conf/ibm/MatsukaU79,Quinnipiac College
Hideo Miyahara,conf/usenix/FujikawaSMNM91,Transport and Telecommunication Institute
Hidetaka Ito,conf/dasfaa/EguchiIKK99,University of South Bohemia
Hideto Ikeda,journals/tods/YamamotoTUI79|conf/sigmod/YamamotoTUI78|conf/dasfaa/OhtomoI89|conf/dasfaa/IkedaKNU91|conf/dasfaa/KitagawaI89|conf/ssdbm/IkedaK81|conf/vldb/Ikeda77|journals/iandc/YamamotoISUH75,Université de Ouagadougou
Hideto Sato,conf/sigmod/Sato81|conf/ssdbm/Sato88|conf/ssdbm/SatoH81|conf/ssdbm/ShibanoS83|conf/ssdbm/SatoNFH86,Vesalius College
Hideto Tomabechi,conf/ijcai/Tomabechi87,Collège Boréal
Hidetoshi Monoi,conf/icde/MonoiMISS88|conf/dasfaa/ItohMS89|conf/iwdm/SakaiSMMI87|conf/fgcs/MonoiMITSS88,University of Electro-Communications
Hidetoshi Uchiyama,conf/dolap/UchiyamaRT99,University of Idaho
Hideyo Kawakita,conf/adb/ArikawaKK94,Daebul University
Hideyuki Nakashima,conf/slp/Nakashima84,Adamson University
Hideyuki Takada,conf/fodo/TaakadaK93,Technological University (Mawlamyaing)
Hideyuki Tamura,conf/db-workshops/Tamura80,Universidad Capitain General Gerardo Barrios
Hideyuki Tokuda,journals/computer/IshikawaTM92|journals/sigops/TokudaM89|conf/rtss/MercerT90,"University of Asia Pacific, Dhanmondi"
Hilary Putnam,journals/jacm/DavisP60,Camberwell College of Arts
Hillary Gilson,conf/cscw/FowlerBDKGLPG94,Omsk State Medicical Academy
Hillel Gazit,journals/ipl/GazitM88,Northwestern University of the Philippines
Hilmar Schuschel,journals/ife/WeskeHKS98,The Art Institute of Boston
Himanshu Gupta,conf/icde/GuptaHRU97|conf/icde/WienerGLZG97|conf/sigmod/LabioZWGGW97|conf/icdt/GuptaM99|conf/icdt/Gupta97|conf/icdt/GuptaS99|conf/views/WienerGLZGW96,Yokohama College of Commerce
Himawan Gunadhi,journals/tkde/GunadhiS93|conf/icde/GunadhiS91|conf/ssdbm/GunadhiS90|conf/vldb/SegevG89|journals/debu/GunadhiS90,Lappeenranta University of Technology
Hing-Lung Lin,conf/sigmod/IraniL79,Bauder College
Hinrich Schütze,conf/sigir/SchutzeHP95|conf/sigir/HullPS96|conf/acl/KesslerNS97,Agricultural-Technical Academy in Olsztyn
Hiroaki Harada,conf/echt/OgawaHK90,Fasa Faculty of Medical Sciences
Hiroaki Kitano,conf/aaai/KitanoH91|conf/ijcai/KitanoMC91,University of Fiji
Hiroaki Negishi,journals/spe/MuramatsuN80,Yantai Education Institute & Yantai Television University
Hiroaki Oiso,conf/dasfaa/UeshimaOMQOT95,Universidade Federal de Mato Grosso do Sul
Hiroaki Sakamoto,conf/spieSR/SuzukiNUS94,Assam University
Hirofumi Amano,conf/dasfaa/AmanoK91|conf/dasfaa/AmanoK93,Western Michigan University
Hirofumi Katsuno,journals/tods/Katsuno84|journals/ipl/Katsuno84|journals/ai/KatsunoM92|conf/kr/KatsunoM91|conf/ijcai/KatsunoM89,Bangabandhu Sheikh Mujibur Rahman Agricultural University
Hirofumi Matsuzawa,conf/edbt/FukudaM98|conf/vldb/MorimotoFMTY98,Loyola Marymount University
Hirohiko Tanaka,conf/vldb/SumiyaYTSI95,Maryville College
Hirohisa Seki,conf/pods/X89|conf/dasfaa/ItohMS89|conf/iclp/SekiI88,"Russian Customs Academy, Vladivostok Branch"
Hiroki Takakura,conf/icde/TakakuraK93|conf/er/HamanoTK98|conf/dasfaa/KambayashiT91|conf/dasfaa/TakakuraK93|conf/gis/HorikawaATK97,Malaysia University of Science and Technology (MUST)
Hiroko Fujihara,journals/tkde/FujiharaSES97,University of Zagreb
Hiroko Mano,conf/icde/ShirotaIMY99,Université Blaise Pascal (Clermont-Ferrand II)
Hiromi Haniuda,conf/iwdm/HikitaKH85,Gomel State Medical University
Hiromi Hiraishi,conf/chdl/ClarkeGHJLMN93,Universitas Sebelas Maret
Hiromi Wada,conf/usenix/WadaYOT93,University of Management and Technology
Hiromichi Fujisawa,conf/dasfaa/FujisawaKKK91|conf/eds/FujisawaHH86,"NGO Vladikavkaz Institute of Economics, Management, and Law"
Hiromichi Ishikawa,conf/dasfaa/MasaiYISMSHY89,Fujian Medical University
Hiromu Hayashi,conf/isca/HayashiHA83,"European Graduate School, Media & Communications"
Hiromu Ishii,conf/vldb/MorimotoIM97,Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh)
Hiroomi Imai,conf/icde/NakanoIK98,Binh Duong University
Hiroshi Arisawa,conf/er/SalevTA98|conf/er/Arisawa79|conf/vldb/ArisawaM86|conf/vldb/ArisawaMM83|journals/is/MiuraMA87|conf/icmcs/ArisawaTS96,Symbiosis International University
Hiroshi Fujimoto,conf/sigmod/OnoAF88,Kyoto Tachibana Women's University
Hiroshi Hagiwara,journals/tc/BabaH81,Sindh Madressatul Islam University
Hiroshi Hamada,conf/mm/TaniguchiATH95,"University ""Transilvany"" of Brasov"
Hiroshi Imai,conf/er/SadakaneI98|conf/dasfaa/KojiroMIK91|journals/tcs/HasegawaII95|journals/jal/ImaiA87,Universidad de Congreso
Hiroshi Ishii 0001,conf/chi/HarrisonIVB95,Art Institute of Charlotte
Hiroshi Ishii 0002,journals/cacm/IshiiKA94,Glasgow School of Art
Hiroshi Ishikawa 0004,journals/tkde/IshikawaYIK96|journals/tods/IshikawaSKMMIAY93|conf/icde/IshikawaKOYKK98|conf/icde/IshikawaKOYKK96|conf/icde/IshikawaIYHM86|conf/icde/IshikawaKNKOYK99|conf/ride/IshikawaK01|conf/vldb/IshikawaK93|journals/expert/IchikawaIYHM87|conf/future/IshikawaIKH92,Universidad Peruana Cayetano Heredia
Hiroshi Motoda,conf/alt/YoshidaMI93,School of Banking and Management in Cracow
Hiroshi Muramatsu,journals/spe/MuramatsuN80,University of Ljubljana
Hiroshi Nagamochi,journals/dc/IbarakiNK95,Universidad de San Buenaventura Medellin
Hiroshi Nakajima,conf/icde/ZhangYRN95|conf/icde/YangLWYDN95,National College of Art and Design
Hiroshi Nishikawa,journals/ngc/YokotaYTNU83,Hasselt University
Hiroshi Nozawa,conf/er/NishidaNS98,Ecole Nationale Supérieure des Industries Textiles de Mulhouse
Hiroshi Ohsaki,conf/fgcs/NittaOMOOS92,Université d'Auvergne (Clermont-Ferrand I)
Hiroshi Sakai,conf/icde/MonoiMISS88|conf/iwdm/SakaiSMMI87|conf/fgcs/MonoiMITSS88|conf/fgcs/SakaiIKATSM84,University of Ottawa
Hiroshi Tsuda,conf/fgcs/YasukawaTY92,Pioneer International University
Hirotaka Sakai,conf/icde/SakaiH84|conf/er/Sakai79|conf/er/Sakai83a|conf/er/Sakai83|conf/er/SakaiKK81|conf/sigmod/Sakai80|conf/dasfaa/Sakai91|conf/vldb/Sakai81|conf/dexa/Sakai90,Davidson College
Hirotani Kitano,journals/computer/Kitano91,Mimasaka Women's College
Hiroto Yasuura,conf/fgcs/Yasuura84,"Federal University of Technology, Yola"
Hirotoshi Maegawa,journals/tkde/Maegawa94,John Cabot University
Hiroyasu Kurose,conf/dasfaa/AjitomiK89,Kamrah International Institute of Technology (KIIT)
Hiroyuki Dekihara,conf/er/NakamuraDF98,Wellspring University
Hiroyuki Horinokuchi,conf/er/WangHKKM98|conf/er/HorinokuchiWKM98|conf/dasfaa/WangHKM99,University of Maine (System)
Hiroyuki Kato,conf/er/KatoY98,West Texas A&M University
Hiroyuki Kawano,journals/dke/HanNKW98,Najaf Abad University of Applied Science and Technology
Hiroyuki Kitagawa,conf/sigmod/IshikawaKO93|conf/dasfaa/MorishimaK97|conf/dasfaa/ChenYYKOF93|conf/dasfaa/FuruseYKO93|conf/dasfaa/LuanOKF89|conf/dasfaa/YajimaKYOF91|journals/ipl/ChenYYKOF92|conf/vdb/YuOKF89|conf/vdb/JiangKOSF89|conf/adc/SuzukiK96|conf/fodo/KitagawaFIO93,University of Tehran
Hiroyuki Sato,conf/fgcs/KawamuraSNY92,Dankook University
Hiroyuki Seki,conf/icdt/IshiharaSI97|conf/dood/SekiII95,The Interdisciplinary Center Herzliya
Hiroyuki Tarumi,conf/er/TarumiMK98|conf/dasfaa/YokotaNTK99,Jumeira University
Hisao Tamaki,conf/pods/PapadimitriouRTV98|conf/iclp/TamakiS86|conf/iclp/TamakiS84,Al-Quds University - The Arab University in Jerusalem
Hisashi Aoki,conf/mm/AokiSH96,Burdwan University
Hisashi Kasahara,conf/dasfaa/KasaharaK89,National University of Samoa
Hisashi Kobayashi,journals/jacm/Kobayashi74b|journals/jacm/Kobayashi74a|conf/ifip/ReiserK74,Guilford College
Hisashi Nakamura,conf/kdd/StolorzNMMSSYNCMF95,University of Oxford
Hisayuki Horai,conf/icse/SaekiHE89,University of Moratuwa
Hitomi Ohkawa,conf/dood/MaierZO89,University of Bahrain
Hitoshi Aida,conf/fgcs/Moto-OkaTAHM84,Kamalolmolk Art & Architecture Higher Education Institute of Noshahr
Hitoshi Matsumoto,conf/usenix/NakajimaYM91,Universidade Vale do Rio Doce
Ho Soo Lee,conf/aaai/SchorDLT86,Mankato State University
Ho-Hyun Park,conf/dasfaa/ParkLLC99,University of Wisconsin - Parkside
Hock Chuan Chan,conf/dasfaa/Chan91|journals/sigmod/LuCW93,University of the Philippines Los Banos
Hodong Yoo,journals/is/KimYL90,Bourgas Free University
Hoewon Kim,conf/er/KimP98,University of Central Lancashire
Hoi-Yee Hwang,conf/kdd/HwangF95,"Universidad Laica ""Eloy Alfaro"" de Manabi"
Holger Branding,journals/debu/BuchmannBKZ92|conf/rules/BrandingBKZ93,University of Kurdistan - Hawler
Holger Giese,conf/coopis/WirtzWG00|conf/uml/GieseGW99,Lake Forest Graduate School of Management
Holger Günzel,conf/adbis/GunzelLEF98|conf/adbis/GunzelAL99,University of Illinois at Chicago
Holger Herbst,conf/caise/Herbst95,Dalian Medical University
Holger Horn,conf/ssd/KriegelHS91|conf/ssd/BrinkhoffHKS93,University of Phoenix
Holger Meuss,conf/icdt/MeussSB01,Qinghai Radio & Television University
Holger Opderbeck,conf/ifip/OpderbeckC74,Berklee College of Music
Holger Riedel,conf/icde/RiedelH96|conf/ds/RiedelS97,Arak University of Medical Sciences
Holger Schenk,conf/dexa/GutingDFBS99,Instituto Superior Politécnico Gaya
Holger Stiefeling,journals/cl/BiskupRS90|conf/wg/BiskupS88,Central College
Holger Wache,conf/efdbs/Wache99,Mozyr State Pedagogical Institute
Holly K. Grossetta Nardini,journals/jasis/WrightNAR99,East China University of Science and Technology
Holm Wegner,conf/caise/MatthesWH99,Tongji Medical University
Hon Fung Li,conf/icde/GoyalLRS88,Ahvaz University of Medical Sciences
Hon Wai Chun,journals/tkde/ChunL97,South Valley University
Honesty C. Young,journals/tkde/ChenLYY95|journals/vldb/HuaLY93|conf/icde/HuaTY95|conf/vldb/ShekitaYT93|conf/vldb/LorieY89|conf/vldb/ChenLYY92|journals/debu/LorieDHSY89|journals/tpds/StamosY93|journals/is/HuaLY93|conf/dexa/LoHY97|conf/pdis/HuaLY93,Toin University of Yokohama
Hong Chen,conf/icalp/ChenH91,National Hispanic University
Hong Heather Yu,conf/icmcs/YuW97,Sultan Qaboos University
Hong Ma 0001,journals/tkde/TangMXMS97,Novgorod State University
Hong Shen,conf/dexa/ShenS98,New England College
Hong Su,conf/sigmod/RundensteinerCCSO00|conf/ride/KramerSCCR01,Spertus Institute of Jewish Studies
Hong Tang,journals/tkde/CheeLTR98,University of Athens
Hong Va Leong,journals/sigmod/YauLMS99|conf/cikm/LeongS95|conf/icde/ChanSL98|journals/cj/LeongS97|conf/dexa/SiL96,Universität Klagenfurt
Hong-Mei Chen Garcia,conf/er/GarciaS92,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya
Hong-Pao Shi,conf/sigir/RaghavanSY83,Institute of Management and Technical Studies 
Hong-Tai Chou,conf/icde/KimCB87|conf/icde/KimWGCBB87|conf/vldb/ChouK86|conf/vldb/KimC88|conf/vldb/ChouD85|journals/tois/BanerjeeCGKWBK87|journals/tse/KimCB88|journals/spe/ChouDKK85|conf/oopsla/KimBCGW87|conf/oopsla/KimBCGWB88|conf/dac/ChouK88,Edogawa University
HongJiang Zhang,journals/mms/ZhangKS93|journals/mms/ZhangTSG95|journals/mta/AigrainZP96|journals/mta/ZhangLS95|journals/ieeemm/SomoliarZ94|conf/spieSR/ZhangS94|conf/spieSR/ZhangZ95|conf/mm/ZhangLSZ95|conf/dl/ZhangSWLK94|conf/icmcs/ZhangGST94|conf/icmcs/GongZCS94,Aria Institute of Higher Education
Hongbo Du,conf/ssdbm/AzmoodehD88,Mount Saint Vincent University
Honghai Shen,conf/cscw/ShenD92,Pwani University
Honghui Lu,journals/computer/AmzaCDKLRYZ96,Botswana Accountancy College
Hongjun Lu,journals/debu/LuO93|journals/tkde/LuSL96|journals/tkde/CheeLTR98|journals/tkde/LuT95|journals/vldb/OoiHLT96|conf/icde/PangLO91|conf/icde/LuMR87|conf/icde/LuT90|conf/icde/ShenOL94|conf/icde/HanL86|conf/sigmod/CareyL86|conf/sigmod/LowOL92|conf/sigmod/RamnarayanL88|conf/sigmod/ChenDLT00|conf/sigmod/RichardsonLM87|conf/dasfaa/PangLO91|conf/dasfaa/XiaFL99|conf/dasfaa/LuT95|conf/edbt/FengLTS98|conf/edbt/LuT92|conf/vldb/LuSL95|conf/vldb/LuOT94|conf/vldb/Lu87|conf/vldb/LuST91|conf/vldb/ChanOL92|conf/vldb/LuTS90|conf/vldb/LuC85|conf/vldb/LuTD95|journals/debu/RamnarayanL87|journals/ipl/TanL93|journals/jiis/OoiZL94|journals/sigmod/LeeCL95|journals/sigmod/TanL91|journals/sigmod/LuOG92|journals/sigmod/LuCW93|conf/icdcs/CareyLL85|conf/ride/LuOP91|conf/ride/LuOG93|conf/ride/LuS92|conf/adb/LuOT94|conf/dood/LowLOH91,Universidad de León
Hongjun Zhu,conf/icde/ZhuSI99,Pakistan Institute of Engineering and Applied Sciences (PIEAS)
Horace J. Meng,journals/mms/MengZC99|conf/mm/ChangCMSZ97,Tokyo University of Fisheries
Horst Biller,conf/vldb/NeuholdB77|journals/is/BillerN78|journals/is/BillerN78a|journals/is/Biller79|conf/ifip/BillerN74|conf/gi/BillerG75|conf/sigir/Biller82,Ursinus College
Horst Duchêne,conf/oodbs/DucheneKT88,Université des Sciences Humaines (Strasbourg II)
Horst Kinzinger,journals/tse/ReuterK84,Koyasan University
Horst Oberquelle,conf/ac/Oberquelle75,Southern Nazarene University
Hossam Afifi,conf/icdcs/BolotA93,Imam Reza University
Houtan Aghili,journals/tods/AghiliS82|journals/debu/TeoreyACFSW82,Yakutsk State University
Howard A. Blair,journals/amai/BlairMS95|journals/tcs/BlairS89|conf/iclp/AptB88|conf/fsttcs/BlairS87,University of North Carolina at Asheville
Howard B. Reubenstein,journals/tse/ReubensteinW91,Facultés Universitaires Notre-Dame de la Paix
Howard Cho,journals/ml/RendellC90,Aksum University
Howard D. Wactlar,journals/computer/WactlarCGH99|journals/computer/WactlarKSS96|journals/cacm/ChristelKMRSSW95,National Sports Academy Sofia
Howard E. Shrobe,journals/aim/FeigenbaumFJNSSE94|journals/tse/RichS78|conf/aaai/DavisSHWSP82,FPT University
Howard E. Sturgis,journals/sigops/SturgisMI80|conf/podc/DemersGHIL87,Aquinas College
Howard Frank,journals/jacm/Frank69,Ho Chi Minh City University of Pedagogics
Howard Gobioff,conf/sigmetrics/GibsonNACFGLORRZ97,Hokkaido Tokai University
Howard J. Hamilton,journals/tkde/CarterH98|conf/kdd/ShanZHC95,Sagami Women's University
Howard J. Karloff,conf/pods/KarloffM99|conf/stoc/BartalFKV92,Universidade Estadual do Oeste do Paraná
Howard Jay Siegel,conf/icde/ClineS84|journals/tc/Siegel79|journals/tc/Siegel77|journals/tc/SiegelSKMSS81|journals/tse/SiegelSS82,The Dickinson School of Law
Howard L. Morgan,journals/cacm/MorganL77|journals/cacm/ConwayMM72|conf/ifip/ConwayMM74|conf/ifip/Morgan80,Sindh Agricultural University
Howard M. Dreizen,journals/tods/DreizenC89,St. Petersburg State University of Culture and Arts
Howard M. Taylor,journals/tods/WhangVT90|conf/vldb/ZandenTB86|journals/is/ZandenTB87,Anambra State University of Science and Technology
Howard Markus,conf/ride/SavasereSGNM91,Walsh College of Accountancy and Business Administration
Howard P. Katseff,conf/mm/KatseffR94,Missouri Western State College
Howard R. Turtle,conf/edbt/CroftT92|journals/ipm/TurtleF95|journals/tois/TurtleC91|journals/cj/TurtleC92|conf/sigir/TurtleC90|conf/sigir/Turtle94|conf/sigir/CroftST92|conf/ht/CroftT89,Universidad Católica Cecilio Acosta
Howard Straubing,journals/jcss/BarringtonIS90,San Beda College
Howard Trickey,journals/debu/GriffinT94|journals/tkde/GriffinLT97|conf/sigmod/ColbyGLMT96,Escuela Nacional de Estudios Superiores Unidad León
Howard W. Beck,journals/tkde/BeckAN94|conf/icde/AnwarBN92|conf/icde/BeckGN89|conf/nato/NavatheSABG93,Université de Bretagne Occidentale
Hozumi Tanaka,conf/aaai/IwayamaTT90,Universidad Peruana Cayetano Heredia
Hristo N. Djidjev,conf/stacs/DjidjevPZ95,The Union Institute
Hsi Chang,journals/cacm/ChangI84,Technical University of Radom
Hsi-Ho Liu,journals/tkde/BourneLOCUB91,Mie University
Hsiang-Lung Tung,conf/cikm/ParkST95|conf/ride/ScheuermannT92,Massachusetts College of Art
Hsin-Chang Yang,conf/widm/LeeY99,Mongolian State University of Agriculture
Hsin-Hsing M. Chen,journals/tkde/SuHC98|conf/vldb/SuC91,Koyasan University
Hsinchun Chen,journals/jasis/Chen95|journals/jasis/ChenMKNS98|journals/computer/Chen94|conf/dl/SchatzJCC96,Conservatorio del Tolima
Hsiu-Fen Liu,conf/vldb/WongLORW85,Carthage College
Hsiu-yen Tsai,conf/aaai/TsaiC94,Zhejiang University
Hsu Chang,journals/ac/ChenC78,Ecole Nationale Supérieure de Chimie de Mulhouse
Hua Shu,conf/dood/Shu97,Universidad de Vigo
Hua Yang,journals/jiis/ChuYCMCL96,Fachhochschule für das öffentliche Bibliothekswesen Bonn
Hua nam Son,conf/mfdbs/DemetrovicsRS91|conf/icdt/DemetrovicsRS92,Mokpo National University
Huaiyuan Zheng,conf/dasfaa/YuWZM95,Daystar University
Huan Liu,journals/tkde/LiuRW95|conf/sigmod/NgLK98,Yasar University
Huan Liu 0001,journals/tkde/LuSL96|journals/tkde/LiuS97|conf/vldb/LuSL95|conf/icml/LiuS96,Technical University of Kenya
Huan-Ming Kao,conf/spieSR/LeeK93,University Campus Suffolk
Huang Cheng Cheng Kuo,conf/icse/KuoLR82,Enugu State University of Science and Technology
Huang-Cheng Kuo,conf/ssdbm/LeeBKOO96,Rikkyo University (St. Paul's University)
Huang-Jen Chen,journals/tkde/ChenL96|conf/icmcs/ChenKLV95|conf/fodo/ChenL93,Chu Hai College
Huanying Gu,conf/coopis/PerlGG96,Bank Street College of Education
Huaqing Wang,journals/computer/OzsoyogluW93|journals/tse/OzsoyogluW89,Kent State University - Stark
Hubert E. Dunsmore,journals/tse/YuSD88,Universidad Regional Miguel Hidalgo
Hubert Hasenauer,conf/dexa/PernulH95,Midland Lutheran College
Hubert Lehmann,conf/gi/LehmannB79,Avinashilingam Institute for Home Science and Higher Education for Women
Hubert Naacke,conf/icde/NaackeGT98|conf/sigmod/TomasicABKNR97,China Foreign Affairs University
Hubert Siu,conf/sigmod/BonnetBCCCHKMMOSS99,Friends University
Hubert de Fraysseix,conf/stoc/FraysseixPP88,Universidad Bolivariana de Venezuela
Hubert von Braun,journals/insk/HesseBBKS94a,Universidad Nacional Jorge Basadre Grohmann
Hudson Turner,conf/iclp/LifschitzT94,Nipissing University
Huei Ling,journals/cacm/LumSWL75,"Heythrop College, University of London"
Huei-Huang Chen,conf/sigmod/ChenK84,"National Institute of Technology, Warangal"
Hugh C. Davis,journals/cn/CarrHRHD96|conf/ht/LewisDGHW96,Usmanu Danfodiyo University Sokoto
Hugh C. Lauer,journals/cacm/RedellDHLLMMP80|journals/sigops/LauerN79|conf/icse/LauerS79,Escuela Colombiana de Ingeniería Julio Garavito
Hugh Darwen,journals/sigmod/DarwenD95,William Carey College
